ticker,month,first_close,last_close,monthly_return_%
MARUTI,2024-05,12805.35,12399.3,-3.17
MARUTI,2024-06,12476.15,12033.85,-3.55
MARUTI,2024-07,12108.65,13115.8,8.32
MARUTI,2024-08,13359.05,12403.0,-7.16
MARUTI,2024-09,12427.4,13238.0,6.52
MARUTI,2024-10,13166.0,11076.45,-15.87
MARUTI,2024-11,11110.0,11063.6,-0.42
NESTLEIND,2023-10,2231.52,2423.48,8.6
NESTLEIND,2023-11,2387.27,2423.61,1.52
NESTLEIND,2023-12,2433.86,2658.03,9.21
NESTLEIND,2024-01,2737.24,2506.0,-8.45
NESTLEIND,2024-02,2467.8,2596.2,5.2
NESTLEIND,2024-03,2601.45,2622.35,0.8
NESTLEIND,2024-04,2585.6,2507.4,-3.02
NESTLEIND,2024-05,2512.3,2354.9,-6.27
NESTLEIND,2024-06,2355.05,2551.65,8.35
NESTLEIND,2024-07,2568.1,2456.35,-4.35
NESTLEIND,2024-08,2484.0,2500.75,0.67
NESTLEIND,2024-09,2509.9,2689.95,7.17
NESTLEIND,2024-10,2707.05,2262.95,-16.41
NESTLEIND,2024-11,2282.3,2247.3,-1.53
NTPC,2023-10,241.2,235.8,-2.24
NTPC,2023-11,232.6,261.3,12.34
NTPC,2023-12,268.95,311.15,15.69
NTPC,2024-01,309.75,317.5,2.5
NTPC,2024-02,322.0,335.6,4.22
NTPC,2024-03,343.5,335.8,-2.24
NTPC,2024-04,342.35,363.2,6.09
NTPC,2024-05,369.05,359.0,-2.72
NTPC,2024-06,391.8,378.35,-3.43
NTPC,2024-07,369.75,416.0,12.51
NTPC,2024-08,423.45,416.2,-1.71
NTPC,2024-09,410.0,443.2,8.1
NTPC,2024-10,440.1,408.15,-7.26
NTPC,2024-11,411.35,365.45,-11.16
ONGC,2023-10,184.6,186.15,0.84
ONGC,2023-11,186.7,194.95,4.42
ONGC,2023-12,194.55,205.05,5.4
ONGC,2024-01,205.35,252.25,22.84
ONGC,2024-02,247.65,264.6,6.84
ONGC,2024-03,270.55,268.05,-0.92
ONGC,2024-04,269.9,282.85,4.8
ONGC,2024-05,282.8,264.35,-6.52
ONGC,2024-06,284.1,274.2,-3.48
ONGC,2024-07,272.95,334.2,22.44
ONGC,2024-08,341.75,330.75,-3.22
ONGC,2024-09,326.2,297.6,-8.77
ONGC,2024-10,291.95,266.15,-8.84
ONGC,2024-11,271.75,245.6,-9.62
POWERGRID,2023-10,199.55,202.15,1.3
POWERGRID,2023-11,200.95,208.95,3.98
POWERGRID,2023-12,210.2,237.2,12.84
POWERGRID,2024-01,238.25,259.3,8.84
POWERGRID,2024-02,265.8,282.85,6.41
POWERGRID,2024-03,287.7,276.9,-3.75
POWERGRID,2024-04,280.15,301.85,7.75
POWERGRID,2024-05,313.6,310.0,-1.15
POWERGRID,2024-06,337.65,330.95,-1.98
POWERGRID,2024-07,329.6,348.2,5.64
POWERGRID,2024-08,361.1,337.4,-6.56
POWERGRID,2024-09,335.55,352.85,5.16
POWERGRID,2024-10,350.8,320.8,-8.55
POWERGRID,2024-11,322.05,336.95,4.63
RELIANCE,2023-10,1159.08,1143.95,-1.31
RELIANCE,2023-11,1148.7,1188.72,3.48
RELIANCE,2023-12,1197.15,1292.47,7.96
RELIANCE,2024-01,1295.13,1426.63,10.15
RELIANCE,2024-02,1426.65,1460.8,2.39
RELIANCE,2024-03,1492.13,1485.85,-0.42
RELIANCE,2024-04,1484.78,1467.0,-1.2
RELIANCE,2024-05,1466.55,1430.4,-2.46
RELIANCE,2024-06,1510.33,1565.4,3.65
RELIANCE,2024-07,1560.15,1505.43,-3.51
RELIANCE,2024-08,1515.3,1509.63,-0.37
RELIANCE,2024-09,1516.25,1476.58,-2.62
RELIANCE,2024-10,1464.83,1332.05,-9.06
RELIANCE,2024-11,1338.65,1265.4,-5.47
SBILIFE,2023-10,1292.45,1367.85,5.83
SBILIFE,2023-11,1336.05,1435.25,7.42
SBILIFE,2023-12,1423.65,1432.6,0.63
SBILIFE,2024-01,1432.1,1401.15,-2.16
SBILIFE,2024-02,1432.75,1552.55,8.36
SBILIFE,2024-03,1542.15,1500.25,-2.72
